Priority,Company,Segment,Region,Website,Phone,Email,Notes
A,Merchandise USA,Inventory liquidation buyer,US national,https://merchandiseusa.com,TBV,TBV,Buys closeouts any size lot - pallets to truckloads; fast exit option
B,Product Liquidators,Inventory liquidation buyer,US national,https://productliquidators.com,TBV,TBV,Buys bulk surplus inventory
B,LiquidateInventory.net,Inventory liquidation buyer,US national,https://liquidateinventory.net,TBV,TBV,Bulk buyers of closeout merchandise
A,Hilltop Surfaces,Slab importer/distributor,"Mississauga, ON, Canada",https://www.hilltopsurfaces.com,905-264-1008,TBV,Canada's largest stone importer/distributor claim; quartz + porcelain
A,Interstone Marble & Granite,Slab importer/distributor,"Concord, ON, Canada",https://interstone.ca,905-760-1077,info@interstone.ca,Toll free 1-866-760-1077; Toronto showrooms
B,Better Marble,Slab supplier,"Toronto, ON",https://www.bettermarble.ca,TBV,TBV,Ships across North America
B,IKONYX Surfaces,Porcelain/quartz supplier,"Toronto, ON",https://www.ikonyx.ca,TBV,TBV,Porcelain slabs + quartz focus
B,The Stone Depot,Quartz/granite supplier,"Scarborough, ON",https://www.thestonedepotcanada.com,TBV,TBV,GTA quartz/granite slabs
B,Cava Surfaces,Premium slab supplier,Canada,https://cavasurfaces.ca,TBV,TBV,Premium Italian/Spanish sourced slabs
B,Hari Stones,Slab distributor,"Vancouver/Calgary/Edmonton/Kelowna, Canada",https://www.haristoneslimited.com,TBV,TBV,Western Canada porcelain distributor
A,Rentalift,Used forklift buyer/dealer,"Paterson, NJ (serves NJ/NY)",https://www.rentalift.com,973-684-6111,TBV,Buys and sells used forklifts and MHE
A,The Forklift Pro,Used forklift wholesale buyer,US national (NC base),https://theforkliftpro.com,TBV,TBV,Large national wholesale buyer of forklifts/MHE
A,SJF Material Handling,Used MHE buyer,US national (MN base),https://www.sjf.com,TBV,TBV,Buying/selling used material handling since 1979; racks conveyors forklifts
B,Russell Equipment,Off-lease MHE buyer,US national,https://www.russellequipment.com,TBV,TBV,World's largest single source used MHE claim; 4 warehouses
B,Barclay Brand Ferdon (Yale),Forklift dealer w/ buyback,NJ/NY,https://www.bbfyale.com,TBV,TBV,Buys back equipment; used forklift program
B,Wiese USA,Forklift dealer,"West Berlin, NJ",https://wieseusa.com,856-767-2122,TBV,New/used MHE dealer
B,MaintainCo,Forklift dealer,"South Hackensack + South Plainfield, NJ",https://www.maintainco.com,888-714-9647,TBV,Used inventory program
B,Central Forklift Inc.,Forklift dealer,"Piscataway, NJ",https://www.centralforkliftnj.com,732-805-9494,TBV,Pre-owned forklifts/scissor lifts
B,Raymond of New Jersey,Electric forklift specialist,NJ,https://www.raymond-nj.com,908-624-9570,TBV,Electric lift truck specialist - good fit for Zowell electric units
B,Modern Group,Forklift distributor,NJ/NY/PA/DE/MD,https://www.moderngroup.com,800-866-3376,TBV,Regional MHE distributor
B,AJ Jersey,MHE dealer,"South Plainfield, NJ",https://www.ajjersey.com,TBV,TBV,Forklifts + warehouse storage solutions
A,Stone Fabricators Market,Used stone equipment classifieds,US national,https://www.stonefabricatorsmarket.com,TBV,TBV,Free classifieds - list Ausavina lifters/A-frames/clamps
A,All Used Stone Equipment,Used stone equipment dealer,US national,https://www.allusedstoneequipment.com,TBV,TBV,Lists/sells used stone fab equipment since 2015
B,Stone Machinery Sales,Used stone equipment dealer,US,https://stonemachinerysales.com,TBV,TBV,Used stone equipment
B,All Stone Stuff,Used stone equipment dealer,US,https://allstonestuff.com,TBV,TBV,21+ yrs; bridge saws to lifting equipment
B,Stone Equipment Warehouse,Stone equipment dealer,US,https://stoneequipmentwarehouse.com,TBV,TBV,Pre-owned + new equipment packages
B,Diamond Tool Store,Stone tools/equipment retailer,US (FL),https://www.diamondtoolstore.com,TBV,TBV,Sells slab lifters - potential stock buyer for new Ausavina units
B,USA Granite Tools,Stone tools retailer,US,https://www.usagranitetools.com,TBV,TBV,Fabrication tools/equipment retailer
B,DeFusco Industrial Supply,Stone supply distributor,US,https://www.defusco.com,TBV,TBV,Stone material handling equipment
A,ADU (Appliance Distributors Unlimited),Contractor appliance wholesaler,US East Coast,https://www.adu.com,TBV,TBV,"Carries Thermador, Bosch, Gaggenau - contractor channel"
B,NeuAppliance Wholesale,Appliance liquidation,US (TX),https://www.neuappliancewholesale.com,TBV,TBV,Wholesale appliance programs
B,DirectLiquidation,Liquidation marketplace,US national,https://www.directliquidation.com,TBV,TBV,Bulk pallet/truckload appliance auctions
B,Liquidation.com,Liquidation marketplace,US national,https://liquidation.com,TBV,TBV,Wholesale appliance lots
B,ALSurplus,Surplus appliance dealer,US (AL),https://alsurplus.com,TBV,TBV,Already resells Gaggenau surplus - direct buyer candidate
B,AJ Madison,Appliance retailer,"Brooklyn, NY",https://www.ajmadison.com,TBV,TBV,Major appliance retailer - open-box/clearance channel
B,Drimmers,Luxury appliance retailer,"Brooklyn, NY",https://www.drimmers.com,TBV,TBV,Luxury brands incl. Gaggenau - price comps verified from their listings
A,DealStream,Mining project marketplace,US/global,https://dealstream.com,TBV,TBV,List mining projects; connect with investors
B,MergersCorp M&A,Mining M&A marketplace,Global,https://mergerscorp.com,TBV,TBV,Lists Turkish mining projects (Erzurum gold project precedent)
B,JuniorMiners.com,Mining claims marketplace,Global,https://juniorminers.com,TBV,TBV,Mining claims/projects for sale
B,Junior Mining Network,Mining investor media,Global,https://www.juniorminingnetwork.com,TBV,TBV,Investor visibility channel
